time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
1577836992.49961710,0.05849585,0.00685565,0.00000224,55400.00000000,0.07481749,0.000000,0.000000
1577836992.59944296,0.05866071,0.00637255,0.00000220,55728.00000000,0.07976286,0.000000,0.000000
1577836992.69927979,0.05883144,0.00680045,0.00000225,55961.00000000,0.08085644,0.000000,0.000000
1577836992.79990602,0.05900760,0.00673948,0.00000223,56187.00000000,0.08190826,0.000000,0.000000
1577836992.89974594,0.05918601,0.00651765,0.00000227,56354.00000000,0.08255797,0.000000,0.000000
1577836992.99958086,0.05937090,0.00676334,0.00000227,56603.00000000,0.08377600,0.000000,0.000000
1577836993.09941816,0.05964409,0.00685374,0.00000260,56736.00000000,0.09597785,0.000000,0.000000
1577836993.19965482,0.05983073,0.00725130,0.00000223,56911.00000000,0.08484067,0.000000,0.000000
1577836993.29949594,0.06005834,0.00727356,0.00000238,56953.00000000,0.09078626,0.000000,0.000000
1577836993.39934683,0.06023392,0.00734524,0.00000223,57314.00000000,0.08411237,0.000000,0.000000
1577836993.49998999,0.06053940,0.00643001,0.00000279,57483.00000000,0.10239095,0.000000,0.000000
1577836993.59983206,0.06070036,0.00631583,0.00000234,57693.00000000,0.08291229,0.000000,0.000000
1577836993.69966483,0.06084005,0.00576292,0.00000232,57867.00000000,0.08025625,0.000000,0.000000
1577836993.79949498,0.06096105,0.00594427,0.00000225,58192.00000000,0.07790150,0.000000,0.000000
1577836993.89932585,0.06110009,0.00601419,0.00000235,58440.00000000,0.08070461,0.000000,0.000000
1577836993.99995017,0.06120108,0.00573616,0.00000228,58780.00000000,0.07554233,0.000000,0.000000
1577836994.09979486,0.06128690,0.00578712,0.00000233,59073.00000000,0.07355939,0.000000,0.000000
1577836994.19964290,0.06140794,0.00601369,0.00000248,59314.00000000,0.07883725,0.000000,0.000000
1577836994.29948115,0.06148317,0.00568287,0.00000243,59435.00000000,0.07239105,0.000000,0.000000
1577836994.39933586,0.06151994,0.00547754,0.00000222,59732.00000000,0.06688908,0.000000,0.000000
1577836994.49996805,0.06159932,0.00583484,0.00000235,59983.00000000,0.07326737,0.000000,0.000000
1577836994.59980607,0.06167453,0.00568889,0.00000237,60206.00000000,0.07280674,0.000000,0.000000
1577836994.69964099,0.06177652,0.00592083,0.00000244,60447.00000000,0.07697300,0.000000,0.000000
1577836994.79948497,0.06189840,0.00631223,0.00000244,60649.00000000,0.08017914,0.000000,0.000000
1577836994.89932203,0.06201027,0.00625143,0.00000228,60741.00000000,0.07890255,0.000000,0.000000
1577836994.99996281,0.06222749,0.00649957,0.00000274,61075.00000000,0.09524496,0.000000,0.000000
1577836995.09979296,0.06235923,0.00698187,0.00000229,61157.00000000,0.08251623,0.000000,0.000000
1577836995.19964910,0.06251365,0.00700413,0.00000235,61415.00000000,0.08629379,0.000000,0.000000
1577836995.29948688,0.06275250,0.00759393,0.00000263,61756.00000000,0.09977489,0.000000,0.000000
1577836995.39932203,0.06297255,0.00823751,0.00000248,62049.00000000,0.09730089,0.000000,0.000000
1577836995.49996805,0.06320142,0.00922799,0.00000242,62387.00000000,0.09913370,0.000000,0.000000
1577836995.59980893,0.06341755,0.00853752,0.00000232,62787.00000000,0.09756644,0.000000,0.000000
1577836995.69966388,0.06366122,0.00941982,0.00000233,63048.00000000,0.10240349,0.000000,0.000000
1577836995.79950500,0.06392140,0.00914858,0.00000243,63448.00000000,0.10555010,0.000000,0.000000
1577836995.89935589,0.06416178,0.00965954,0.00000233,64086.00000000,0.10286276,0.000000,0.000000
1577836995.99960184,0.06441758,0.01027906,0.00000239,64676.00000000,0.10585770,0.000000,0.000000
1577836996.09943819,0.06468783,0.00959604,0.00000247,65229.00000000,0.10873854,0.000000,0.000000
1577836996.19966698,0.06495548,0.01251093,0.00000236,65851.00000000,0.10884965,0.000000,0.000000
1577836996.29950094,0.06519808,0.00977568,0.00000237,66623.00000000,0.10522850,0.000000,0.000000
1577836996.39934897,0.06545556,0.00989649,0.00000246,67199.00000000,0.10819735,0.000000,0.000000
1577836996.49998808,0.06570412,0.00917654,0.00000249,67670.00000000,0.10721353,0.000000,0.000000
1577836996.59981108,0.06591011,0.00831648,0.00000246,67963.00000000,0.10051537,0.000000,0.000000
1577836996.69964695,0.06608694,0.00801052,0.00000242,68137.00000000,0.09597154,0.000000,0.000000
1577836996.79948115,0.06620112,0.00721180,0.00000231,68540.00000000,0.08561202,0.000000,0.000000
1577836996.89931893,0.06631093,0.00653158,0.00000240,68804.00000000,0.08508769,0.000000,0.000000
